有线18台,rtmp://59.124.75.130/sat/hk042
ASTRO WAH LAI TOI,http://47.242.54.220/daili/ce50.php?gun=2&id=Wlt
Channel 8,http://47.242.54.220/daili/ce50.php?gun=2&id=Channel8
Channel 5,http://47.242.54.220/daili/ce50.php?gun=2&id=Channel5
Channel U,http://47.242.54.220/daili/ce50.php?gun=2&id=ChannelU

有线新闻,http://93.190.139.36:8278/streams/d/hkcnews_twn/playlist.m3u8
无线新闻台,http://qj.yyrjdp.cn/jiuban/iptv5/huanip.php?id=Inews
TVB·翡翠台,http://qj.yyrjdp.cn/jiuban/iptv5/huanip.php?id=Jade
天映电影,http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
天映经典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
Astro华丽,http://50.7.161.82:8278/streams/d/Wlt/playlist.m3u8
Astro欢喜,http://50.7.161.82:8278/streams/d/Huahee/playlist.m3u8
Astro爱奇艺,http://185.180.221.194:8278/streams/d/Qiyi/playlist.m3u8
Astro Arena,http://50.7.161.82:8278/streams/d/Arena/playlist.m3u8
TV8,http://50.7.161.82:8278/streams/d/TV8/playlist.m3u8
TV2,http://50.7.161.82:8278/streams/d/TV2/playlist.m3u8
HBO,http://50.7.161.82:8278/streams/d/Hbo/playlist.m3u8
BOO,http://50.7.161.82:8278/streams/d/Boo/playlist.m3u8
全佳,http://50.7.161.82:8278/streams/d/Quanjia/playlist.m3u8
双星,http://50.7.161.82:8278/streams/d/Shuangxing/playlist.m3u8
TVB星河,http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
小太阳,http://50.7.161.82:8278/streams/d/Xiaotaiyang/playlist.m3u8
